Rank,Track,Artist1,Artist2,Album,Release,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
88,No Hard Feelings,Old Dominion,,"Time, Tequila & Therapy",2021-10-08,57,191360,0.636,0.866,4,-5.796,1,0.0553,0.243,0.00000542,0.371,0.963,85.004
89,23,Sam Hunt,,23,2021-09-09,64,179720,0.641,0.78,3,-5.138,1,0.0852,0.0206,0,0.143,0.693,98.004
90,Dancin' In The Moonlight,Chris Lane,Lauren Alaina,Dancin' In The Moonlight,2022-05-20,54,199000,0.59,0.828,8,-4.861,0,0.0331,0.0204,0,0.126,0.559,121.996
91,Broadway Girls (feat. Morgan Wallen),Lil Durk,Morgan Wallen,Broadway Girls (feat. Morgan Wallen),2022-03-10,78,185600,0.659,0.745,10,-3.599,1,0.0347,0.0417,0,0.296,0.54,74.967
92,Wild as Her,Corey Kent,,Wild as Her,2023-06-02,70,201066,0.5,0.748,0,-5.927,1,0.0364,0.00291,0,0.112,0.448,148.009
93,What He Didn't Do,Carly Pearce,,29: Written In Stone,2021-09-17,67,191226,0.628,0.632,9,-5.932,1,0.0325,0.257,0,0.288,0.559,137.854
94,Thought You Should Know,Morgan Wallen,,Thought You Should Know,2023-03-03,76,215571,0.537,0.701,6,-6.214,1,0.0264,0.48,0.00000665,0.145,0.552,139.995
95,Buy Dirt,Jordan Davis,Luke Bryan,Buy Dirt,2021-05-21,80,167480,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945
96,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,Chris Stapleton,Red (Taylor's Version),2021-11-12,70,285106,0.391,0.715,0,-4.516,1,0.0495,0.167,0,0.183,0.473,149.654
97,Flower Shops,ERNEST,Morgan Wallen,Flower Shops,2022-03-11,72,214405,0.544,0.459,7,-5.908,1,0.0266,0.119,0,0.0831,0.231,128.062
98,Wilder Days,Morgan Wade,,Reckless,2021-03-19,61,251293,0.502,0.662,9,-4.041,1,0.0293,0.00322,0.00274,0.119,0.4,110.917
99,Til You Can't,Cody Johnson,,Human The Double Album,2021-10-08,73,224213,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087
100,If I Didn't Love You,Jason Aldean,Carrie Underwood,If I Didn't Love You,2021-11-12,66,212893,0.452,0.683,1,-4.829,1,0.0337,0.168,0,0.102,0.445,183.937
